	concept_id	concept_name	domain_id	vocabulary_id	concept_class_id	standard_concept	concept_code	valid_start_date	valid_end_date	invalid_reason
0	40224159	alcaftadine	Drug	RxNorm	Ingredient	S	1000082	20100905	20991231	
1	40225716	resveratrol	Drug	RxNorm	Ingredient	S	1000492	20100905	20991231	
2	40224234	microcrystalline cellulose	Drug	RxNorm	Ingredient	S	1000577	20100905	20991231	
3	40224678	trichlorfon	Drug	RxNorm	Ingredient	S	1000581	20100905	20991231	
4	40224705	autologous cultured chondrocytes	Drug	RxNorm	Ingredient	S	1000589	20100905	20991231	
5	1036059	antipyrine	Drug	RxNorm	Ingredient	S	1001	19700101	20991231	
6	19000381	squalene	Drug	RxNorm	Ingredient	S	10014	19700101	20991231	
7	19136097	Bifidobacterium infantis	Drug	RxNorm	Ingredient	S	100213	20080601	20991231	
8	19000382	Lactobacillus delbrueckii subsp. bulgaricus	Drug	RxNorm	Ingredient	S	100272	20051113	20991231	
9	19000811	Lacticaseibacillus rhamnosus	Drug	RxNorm	Ingredient	S	100278	19700101	20991231	
10	1036094	stannous fluoride	Drug	RxNorm	Ingredient	S	10030	19700101	20991231	
11	1636145	stanozolol	Drug	RxNorm	Ingredient	S	10032	19700101	20991231	
12	1036157	starch	Drug	RxNorm	Ingredient	S	10046	19700101	20991231	
13	636164	Vibrio cholerae serotype Inaba	Drug	RxNorm	Ingredient		100533	19700101	20200503	D
14	636167	Vibrio cholerae serotype Ogawa	Drug	RxNorm	Ingredient		100534	19700101	20200503	D
15	40225031	Influenza Virus Vaccine, Live Attenuated, A-California-7-2009 (H1N1) strain	Drug	RxNorm	Ingredient		1005909	20100905	20200503	U
16	40225038	influenza virus vaccine, live attenuated, A-Perth-16-2009 (H3N2) strain	Drug	RxNorm	Ingredient	S	1005911	20100905	20991231	
17	40225722	ulipristal	Drug	RxNorm	Ingredient	S	1005921	20100905	20991231	
18	40224997	Influenza Virus Vaccine, Inactivated A-California-07-2009 X-179A (H1N1) strain	Drug	RxNorm	Ingredient		1005929	20100905	20200503	U
19	40225028	influenza virus vaccine, inactivated A-Victoria-210-2009 X-187 (H3N2) (A-Perth-16-2009) strain	Drug	RxNorm	Ingredient	S	1005931	20100905	20991231	
20	40225011	Influenza Virus Vaccine, Inactivated A-California-07-2009 X-181 (H1N1)	Drug	RxNorm	Ingredient		1006237	20100905	20121203	U
21	40225012	Influenza Virus Vaccine, Inactivated A-California-07-2009 X-181 (H1N1) strain	Drug	RxNorm	Ingredient		1006250	20100905	20200503	U
22	40224189	Apiospora montagnei allergenic extract	Drug	RxNorm	Ingredient	S	1006258	20100905	20991231	
23	40224210	Aspergillus niger var. niger allergenic extract	Drug	RxNorm	Ingredient	S	1006297	20100905	20991231	
24	40224216	Aspergillus repens allergenic extract	Drug	RxNorm	Ingredient	S	1006310	20100905	20991231	
25	40224734	cayenne pepper allergenic extract	Drug	RxNorm	Ingredient	S	1006340	20100905	20991231	
26	40224861	mango blossom pollen extract	Drug	RxNorm	Ingredient	S	1006371	20100905	20991231	
27	40224137	aminopentamide	Drug	RxNorm	Ingredient	S	1006397	20100905	20991231	
28	40224726	doconexent	Drug	RxNorm	Ingredient	S	1006469	20100905	20991231	
29	40224992	Indian wormwood sage pollen extract	Drug	RxNorm	Ingredient	S	1006495	20100905	20991231	
