	name	CID
0	g	146170996
1	j	146170997
2	f	24524
3	 	146170998
4	t	146170999
5	v	23990
6	l	146171000
7	u	23989
8	z	146171001
9	o	977
10	8	146171002
11	]	146171003
12	3	146171004
13	5	146171005
14	@	146171006
15	h	783
16	9	146171007
17	\	146171008
18	c	5462310
19	:	146171009
20	7	146171010
21	_	146171011
22	+	146171012
23	k	5462222
24	`	146171013
25	'	146171014
26	b	5462311
27	m	146171015
28	i	807
29	6	146171016
30	?	146171017
31	-	97226
32	s	158550
33	q	146171018
34	e	146171019
35	/	146171020
36	=	146171021
37	*	146171022
38	1	146171023
39	}	146171024
40	.	146171025
41	(	146171026
42	!	146171027
43	4	146171028
44	p	5462309
45	w	23964
46	y	23993
47	0	146171029
48	$	146171030
49	|	146171031
50	d	146171032
51	)	146171033
52	,	146171034
53	^	146171035
54	%	146171036
55	�	146171037
56	{	146171038
57	#	146171039
58	[	146171040
59	2	146171041
60	x	146171042
61	n	947
62	r	146171043
63	a	146171044
64	~	146171045
