	name	CID
0		146170996
1	diphtheria and tetanus toxoids and pertussis vaccine and haemophilus b and hepatitis b virus vaccine	146170997
2	cetiedil	66384
3	apatorsen	71710946
4	oxycodone terephthalate	23724882
5	hypromelloses	146170998
6	clorazepate dipotassium	167305
7	kelp	2247
8	potassium dichromate	24502
9	acetazolamide	1986
10	lercanidipine hydrochloride	157917
11	belinostat	6918638
12	bisoprolol	2405
13	etifoxine	135413553
14	meradimate	8633
15	potassium adipate	9794493
16	pegargiminase	146170999
17	gilteritinib	49803313
18	carya tomentosa pollen	146171000
19	protein c	146171001
20	barnidipine hydrochloride	443868
21	troleandomycin	202225
22	colistimethate sodium	216258
23	methylephedrine hydrochloride, (+/-)-	146171002
24	voxtalisib	16123056
25	dextran 40	146171003
26	hyoscyamine sulfate	174174
27	droxidopa	92974
28	methylephedrine, (+/-)-	64782
29	sermorelin	16129620
30	trametinib dimethyl sulfoxide	50992434
31	kallidinogenase	146171004
32	naftifine hydrochloride	5281098
33	cilengitide	176873
34	o-desmethyl tramadol	9838803
35	norgestrel	13109
36	pefloxacin	51081
37	cefuroxime	5479529
38	betaine	247
39	cocaine	446220
40	cathinone	62258
41	lopinavir	92727
42	magnesium phosphate, dibasic	516944
43	nitrofurazone	5447130
44	influenza b virus b/phuket/3073/2013 antigen (forma	146171005
45	rosuvastatin	446157
46	methoxyamine	4113
47	lmb-100	6917907
48	metopimazine	26388
49	bacillus subtilis	3083711
50	carfentanil citrate	9851365
51	eptifibatide	448812
52	angiotensin	146171006
53	magnesium oxide	14792
54	paritaprevir	45110509
55	aloe	146171007
56	dihydroergocryptine mesylate	146171008
57	thenyldiamine	7066
58	ivuxolimab	146171009
59	rabies vaccine	146171010
60	sodium perchlorate monohydrate	516899
61	propoxyphene hydrochloride	15424
62	desmethyldoxepin	6433351
63	crizanlizumab-tmca	146171011
64	desmopressin acetate	5311065
65	onion	146171012
66	magnesium alginate	146171013
67	ipamorelin	9831659
68	eletriptan	77993
69	camphor	2537
70	levmetamfetamine	36604
71	vincristine sulfate	249332
72	bos taurus skin	146171014
73	furazidine	6870646
74	paeonia lactiflora root	146171015
75	tirofiban hydrochloride	64781
76	deslanoside	28620
77	oxandrolone	5878
78	hyaluronic acid	146171016
79	methenolone acetate	252372
80	exemestane	60198
81	wood creosote	460
82	incobotulinumtoxina	146171017
83	sodium thiosalicylate	23690429
84	salvia miltiorrhiza root	146171018
85	racepinephrine	838
86	flurbiprofen sodium	23684814
87	carbromal	6488
88	estropipate	5284555
89	lactic acid, dl-	146171019
