	name	CID
0	neisseria meningitidis group a capsular oligosaccharide diphtheria crm197 protein conjugate antigen	146173135
1	follicle stimulating hormone beta polypeptide	146173134
2	von willebrand factor (recombinant)	146173133
3	sus scrofa stomach	146173132
4	plantago afra seed	146173131
5	panax ginseng whole	146173130
6	carbomer homopolymer type c (allyl pentaerythritol crosslinked)	146173129
7	celery seed	146173128
8	vantictumab	146173127
9	telbermin	146173126
10	streptococcus faecalis	146173125
11	balsam peru	146173124
12	pygeum	146173123
13	platelet derived growth factor-bb	146173122
14	polyphenols, tea	146173121
15	crataegus fruit	146173120
16	papaya	146173119
17	tocilizumab	146173118
18	bifidobacterium bifidum	146173117
19	bos taurus adrenal cortex corticosteroids	146173116
20	carbohydrates	146173115
21	ieramilimab	146173114
22	seribantumab	146173113
23	populus alba pollen	146173112
24	patiromer	146173111
25	mus musculus skin	146173110
26	rehmannia glutinosa root	146173109
27	bacillus anthracis strain v770-np1-r antigen	146173108
28	mag carbonate	146173107
29	human red blood cell	146173106
30	farletuzumab	146173105
31	pegzerepoetin alfa	146173104
32	veratrum album root	146173103
33	oenothera biennis (evening primrose) seed extract	146173102
34	lentil	146173101
35	algeldrate	146173100
36	hydrophilic ointment	146173098
37	peumus boldus	146173097
38	becaplermin	146173096
39	canis lupus familiaris skin	146173095
40	alclometasone	146173094
41	elaeagnus angustifolia pollen	146173093
42	dinutuximab beta	146173092
43	fraxinus velutina pollen	146173091
44	mammal liver	146173090
45	blueberry	146173089
46	 nevirapine 	146173088
47	phleum pratense pollen	146173087
48	penicillium roqueforti	146173086
49	eptaplatin	146173085
50	asian ginseng	146173084
51	serum, horse	146173083
52	diphtheria and tetanus toxoids and acellular pertussis vaccine adsorbed pf	146173082
53	bimekizumab	146173081
54	cottonseed oil	146173080
55	white wax	146173079
56	thrombomodulin alfa	146173078
57	adenosine cyclic phosphate meglumine	146173077
58	alternaria alternata	146173076
59	sedum roseum root	146173075
60	carpinus caroliniana pollen	146173074
61	losartan potassium	146173073
62	pit viper (crotalinae) immune globulin antivenin (equine)	146173072
63	menotropins	146173071
64	sod cl	146173070
65	chamomile flower oil	146173069
66	rinfabate	146173068
67	allergenic extract- candida	146173067
68	coagulation factor ix human	146173066
69	penicillium expansum	146173065
70	penicillium chrysogenum var	146173064
71	protein s human	146173063
72	filgrastim	146173062
73	soap	146173061
75	ritodrine hydrochloride	146173060
74	ritodrine	146173060
76	chondrus crispus	146173059
77	grape	146173058
78	gevokizumab	146173057
79	celtis occidentalis pollen	146173056
80	mahonia aquifolium root bark	146173055
81	smilax china root	146173054
82	cisplatin	146173053
83	basic fibroblast growth factor	146173052
84	pegfilgrastim-cbqv	146173051
85	vespula vulgaris venom protein	146173050
86	petrolatum	146173049
87	bromus secalinus pollen	146173048
88	cashew	146173047
89	heparin sodium, bovine	146173046
90	varicella-zoster vaccine	146173045
91	erythroxylum coca leaf	146173044
92	ascophyllum nodosum	146173043
93	lonicera caprifolium flower	146173042
94	phenylephrine and	146173041
95	sunflower seed	146173040
96	influenza a virus a/singapore/gp1908/2015 ivr-180 (h1n1) antigen (uv, formaldehyde inactivated)	146173039
97	tocopherol	146173038
98	matricaria chamomilla whole	146173037
99	cow milk	146173036
100	unspecified ingredient	146173035
101	cedar leaf oil	146173034
102	vaccinia immune globulin human	146173033
103	allergenic extract- epicoccum nigrum	146173032
104	bifidobacterium animalis subsp. lactis	146173031
105	bee pollen	146173030
106	coagulation factor viia human	146173029
107	codonopsis pilosula root	146173028
108	methylcelluloses	146173027
109	acrylylfentanyl	146173026
110	hypromellose 2910 (4000 mpa.s)	146173025
111	ubiquinol	146173024
112	human rotavirus a type g2p7(5) strain sc2 live antigen	146173023
113	cabiralizumab	146173022
114	calcitonin porcine	146173021
115	von willebrand factor human	146173020
116	urtica dioica pollen	146173018
117	aluminum zirconium octachlorohydrex gly	146173017
118	sodium bicar	146173016
119	lambrolizumab	146173015
120	candida tropicalis	146173014
121	caplacizumab-yhdp	146173013
122	candida albicans	146173012
123	lebrikizumab	146173011
124	prolactin	146173010
125	aspergillus niger v	146173009
126	north american coral snake antivenin (micrurus fulvius) (equine)	146173008
127	neisseria meningitidis group b fhbp fusion protein antigen	146173007
128	insulin pork	146173006
129	certolizumab pegol	146173005
130	haemophilus b polysaccharide vaccine	146173004
131	tears naturale ii	146173003
132	burosumab	146173001
133	melilotus officinalis top	146173000
134	house dust	146172999
135	aureobasidium pullulans var. pullutans	146172998
136	haemophilus influenzae type b strain 20752 capsular polysaccharide tetanus toxoid conjugate antigen	146172997
137	cocillana	146172996
138	grapefruit juice	146172995
139	neisseria meningitidis group a capsular polysaccharide diphtheria toxoid conjugate antigen	146172994
140	ibalizumab-uiyk	146172993
141	broccoli	146172992
142	hamamelis virginiana bark	146172991
144	betula populifolia pollen	146172989
145	bfcr-4350a	146172988
146	pegloticase	146172987
148	benzalkonium chloride	146172986
147	benzalkonium	146172986
149	populus nigra pollen	146172985
150	mogamulizumab	146172984
151	megestrol acetate	146172983
152	megestrol	146172983
153	pelareorep	146172982
154	gibberella fujikuroi	146172981
155	coral snake (micrurus fulvius) immune globulin antivenin (equine)	146172980
156	bordetella pertussis filamentous hemagglutinin antigen (formaldehyde inactivated)	146172979
157	collagen	146172978
158	aconitum napellus root	146172977
159	cyclobarbital aminophenazone	146172976
160	strychnos ignatii seed	146172975
161	atezolizumab	146172974
162	frangula alnus bark	146172973
163	morella cerifera pollen	146172972
164	human cytomegalovirus immune globulin	146172971
165	streptokinase	146172970
166	yttrium y-90 clivatuzumab tetraxetan	146172969
167	canola oil	146172968
168	ascorbic acid/ chromium/ selenium/vanadyl sulfate	146172967
169	moringa oleifera leaf	146172966
170	eucalyptus globulus leaf	146172965
171	coagulation factor vii human	146172964
172	asfotase alfa	146172963
173	recombinant vesicular stomatitis virus pseudotyped with ebola zaire glycoprotein	146172962
174	avena sativa pollen	146172961
175	certoparin sodium	146172960
176	darbepoetin alfa	146172959
177	solanezumab	146172958
178	tabalumab	146172957
179	sisymbrium officinale whole	146172956
180	rasdegafusp alfa	146172955
181	d+c yellow no. 10	146172954
182	oregano	146172953
183	peginterferon alfa-2a	146172952
184	fusarium oxysporum vasinfectum	146172951
185	dulaglutide	146172950
186	rilotumumab	146172949
187	euphrasia stricta	146172948
188	arabica coffee bean	146172947
189	octinox	146172946
190	iodine i-131	146172945
192	gonadorelin acetate	146172943
193	gonadorelin	146172943
194	aspergillus fumigatus	146172942
195	alglucerase	146172941
196	albinterferon alfa-2b	146172940
197	jojoba oil	146172939
198	amino acids, source unspecified	146172938
199	bacillus cereus	146172937
200	rosehip	146172936
201	enfortumab vedotin-ejfv	146172935
202	neisseria meningitidis group c capsular oligosaccharide diphtheria crm197 protein conjugate antigen	146172934
203	moxetumomab pasudotox	146172933
204	collodion	146172932
205	pulsatilla vulgaris	146172931
206	neurotropin	146172930
207	lecithin	146172929
208	evinacumab	146172928
209	magnesium sulfate, unspecified form	146172927
210	evolocumab	146172926
211	calendula officinalis flowering top	146172925
212	insulin beef/pork	146172924
