	not_found	CID
0		146170996
1	diphtheria and tetanus toxoids and pertussis vaccine and haemophilus b and hepatitis b virus vaccine	146170997
2	hypromelloses	146170998
3	pegargiminase	146170999
4	carya tomentosa pollen	146171000
5	protein c	146171001
6	methylephedrine hydrochloride, (+/-)-	146171002
7	dextran 40	146171003
8	kallidinogenase	146171004
9	influenza b virus b/phuket/3073/2013 antigen (forma	146171005
10	angiotensin	146171006
11	aloe	146171007
12	dihydroergocryptine mesylate	146171008
13	ivuxolimab	146171009
14	rabies vaccine	146171010
15	crizanlizumab-tmca	146171011
16	onion	146171012
17	magnesium alginate	146171013
18	bos taurus skin	146171014
19	paeonia lactiflora root	146171015
20	hyaluronic acid	146171016
21	incobotulinumtoxina	146171017
22	salvia miltiorrhiza root	146171018
23	lactic acid, dl-	146171019
24	orthosiphon aristatus leaf	146171020
25	atriplex lentiformis pollen	146171021
26	alternaria altern	146171022
27	cladosporium cladosporioides	146171023
28	mepolizumab	146171024
29	streptokinase-streptodornase	146171025
30	aspergillus nidulans	146171026
31	platelet concentrate human	146171027
32	trastuzumab-dttb	146171028
33	canis lupus familiaris dander	146171029
34	halibut liver oil	146171030
35	escherichia coli	146171031
36	factor ix complex	146171032
37	lisocabtagene maraleucel	146171033
38	alemtuzumab	146171034
39	glucosamine sulfate	146171035
40	diphtheria and tetanus toxoids and acellular pertussis adsorbed, inactivated poliovirus and haemophilus b conjugate (mpc) and hepatitis b virus vaccine	146171036
41	shark liver oil	146171037
42	 dolichovespula maculata venom protein	146171038
43	fucus vesiculosus	146171039
44	sodium heparan sulfate (porcine	146171040
45	sodium cl	146171041
46	somatrem	146171042
47	peru balsam	146171043
48	hops	146171044
49	alnus serrulata pollen	146171045
50	st. john^s wort	146171046
51	human rho(d) immune globulin	146171047
52	azithromycin anhydrous	146171048
53	grapefruit	146171049
54	sporisorium cruentum	146171050
55	probiotics nos	146171051
56	danaparoid sodium	146171052
57	basil	146171053
58	tetanus toxoids	146171054
59	cochliobolus sativ	146171055
60	parnaparin sodium	146171056
61	bacillus calmette-guerin substrain moreau rdj live antigen	146171057
62	panax notoginseng root extract	146171058
63	icrucumab	146171059
64	abciximab	146171060
65	allergenic extract- alternaria	146171061
66	influenza a virus a/california/7/2009 x-181 (h1n1) antigen (formaldehyde inactivated)	146171062
67	borage seed oil	146171063
68	belladonna	146171064
69	estrogens, conjugated synthetic b	146171065
70	taraxacum officinale pollen	146171066
71	hyoscyamine	146171067
72	chelidonium majus	146171068
73	betula papyrifera pollen	146171069
74	blattella germanica	146171070
